順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
197,2480,"津福","天神大牟田線","民営","西日本鉄道","40"
198,2518,"津古","天神大牟田線","民営","西日本鉄道","40"
199,2546,"久留米大学前","久大線","ＪＲ","九州旅客鉄道","40"
200,2647,"二島","筑豊線","ＪＲ","九州旅客鉄道","40"
201,2694,"南行橋","日豊線","ＪＲ","九州旅客鉄道","40"
202,2744,"門松","篠栗線","ＪＲ","九州旅客鉄道","40"
203,2753,"須恵中央","香椎線","ＪＲ","九州旅客鉄道","40"
204,2827,"大保","天神大牟田線","民営","西日本鉄道","40"
205,2886,"荒木","鹿児島線","ＪＲ","九州旅客鉄道","40"
206,2921,"小森江","鹿児島線","ＪＲ","九州旅客鉄道","40"
207,2949,"試験場前","天神大牟田線","民営","西日本鉄道","40"
208,2963,"土井","香椎線","ＪＲ","九州旅客鉄道","40"
209,2982,"原町","篠栗線","ＪＲ","九州旅客鉄道","40"
209,2982,"名島","貝塚線","民営","西日本鉄道","40"
211,3135,"ししぶ","鹿児島線","ＪＲ","九州旅客鉄道","40"
212,3143,"徳力嵐山口","小倉線","三セク","北九州高速鉄道","40"
213,3220,"和白","香椎線","ＪＲ","九州旅客鉄道","40"
214,3242,"梅林","3号線(七隈線)","公営","福岡市","40"
215,3280,"香椎花園前","貝塚線","民営","西日本鉄道","40"
216,3328,"大善寺","天神大牟田線","民営","西日本鉄道","40"
217,3463,"中間","筑豊線","ＪＲ","九州旅客鉄道","40"
218,3476,"宇島","日豊線","ＪＲ","九州旅客鉄道","40"
219,3478,"三苫","貝塚線","民営","西日本鉄道","40"
220,3686,"桂川","筑豊線","ＪＲ","九州旅客鉄道","40"
221,3701,"宇美","香椎線","ＪＲ","九州旅客鉄道","40"
222,3719,"旦過","小倉線","三セク","北九州高速鉄道","40"
223,3763,"小波瀬西工大前","日豊線","ＪＲ","九州旅客鉄道","40"
224,3863,"桜坂","3号線(七隈線)","公営","福岡市","40"
225,3930,"西鉄香椎","貝塚線","民営","西日本鉄道","40"
226,4124,"水城","鹿児島線","ＪＲ","九州旅客鉄道","40"
227,4139,"企救丘","小倉線","三セク","北九州高速鉄道","40"
228,4241,"水巻","鹿児島線","ＪＲ","九州旅客鉄道","40"
229,4253,"北方","小倉線","三セク","北九州高速鉄道","40"
230,4258,"新栄町","天神大牟田線","民営","西日本鉄道","40"
231,4454,"片野","小倉線","三セク","北九州高速鉄道","40"
232,4483,"陣原","鹿児島線","ＪＲ","九州旅客鉄道","40"
233,4484,"徳力公団前","小倉線","三セク","北九州高速鉄道","40"
234,4499,"競馬場前","小倉線","三セク","北九州高速鉄道","40"
235,4610,"朽網","日豊線","ＪＲ","九州旅客鉄道","40"
236,4725,"安部山公園","日豊線","ＪＲ","九州旅客鉄道","40"
237,4799,"守恒","小倉線","三セク","北九州高速鉄道","40"
238,4824,"スペースワールド","鹿児島線","ＪＲ","九州旅客鉄道","40"
239,4831,"苅田","日豊線","ＪＲ","九州旅客鉄道","40"
240,4835,"教育大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
241,4986,"茶山","3号線(七隈線)","公営","福岡市","40"
242,5048,"東福間","鹿児島線","ＪＲ","九州旅客鉄道","40"
243,5098,"遠賀川","鹿児島線","ＪＲ","九州旅客鉄道","40"
244,5336,"香春口三萩野","小倉線","三セク","北九州高速鉄道","40"
245,5337,"天拝山","鹿児島線","ＪＲ","九州旅客鉄道","40"
246,5614,"下山門","筑肥線","ＪＲ","九州旅客鉄道","40"
247,5674,"大牟田","鹿児島線","ＪＲ","九州旅客鉄道","40"
248,5683,"枝光","鹿児島線","ＪＲ","九州旅客鉄道","40"
249,5781,"西鉄五条","太宰府線","民営","西日本鉄道","40"
250,5843,"紫","天神大牟田線","民営","西日本鉄道","40"
251,5916,"三国が丘","天神大牟田線","民営","西日本鉄道","40"
252,6030,"羽犬塚","鹿児島線","ＪＲ","九州旅客鉄道","40"
253,6038,"賀茂","3号線(七隈線)","公営","福岡市","40"
254,6056,"西鉄千早","貝塚線","民営","西日本鉄道","40"
255,6098,"金山","3号線(七隈線)","公営","福岡市","40"
256,6139,"波多江","筑肥線","ＪＲ","九州旅客鉄道","40"
257,6141,"次郎丸","3号線(七隈線)","公営","福岡市","40"
258,6258,"薬院大通","3号線(七隈線)","公営","福岡市","40"
259,6546,"箱崎九大前","2号線(箱崎線)","公営","福岡市","40"
260,6586,"筑紫","天神大牟田線","民営","西日本鉄道","40"
261,6645,"直方","筑豊線","ＪＲ","九州旅客鉄道","40"
262,6792,"平和通","小倉線","三セク","北九州高速鉄道","40"
263,6847,"都府楼前","天神大牟田線","民営","西日本鉄道","40"
264,7628,"千鳥","鹿児島線","ＪＲ","九州旅客鉄道","40"
265,7630,"海老津","鹿児島線","ＪＲ","九州旅客鉄道","40"
266,7642,"花畑","天神大牟田線","民営","西日本鉄道","40"
267,7853,"長者原","篠栗線","ＪＲ","九州旅客鉄道","40"
268,7966,"渡辺通","3号線(七隈線)","公営","福岡市","40"
269,8005,"原田","筑豊線","ＪＲ","九州旅客鉄道","40"
270,8026,"柚須","篠栗線","ＪＲ","九州旅客鉄道","40"
271,8073,"野芥","3号線(七隈線)","公営","福岡市","40"
272,8199,"呉服町","2号線(箱崎線)","公営","福岡市","40"
273,8218,"黒崎駅前","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
274,8294,"大牟田","天神大牟田線","民営","西日本鉄道","40"
275,8817,"橋本","3号線(七隈線)","公営","福岡市","40"
276,8877,"城野","日豊線","ＪＲ","九州旅客鉄道","40"
277,8933,"九州工大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
278,8955,"新飯塚","筑豊線","ＪＲ","九州旅客鉄道","40"
279,9037,"箱崎宮前","2号線(箱崎線)","公営","福岡市","40"
280,9423,"千代県庁口","2号線(箱崎線)","公営","福岡市","40"
281,9437,"春日","鹿児島線","ＪＲ","九州旅客鉄道","40"
282,9456,"白木原","天神大牟田線","民営","西日本鉄道","40"
283,9765,"篠栗","篠栗線","ＪＲ","九州旅客鉄道","40"
284,9906,"新宮中央","鹿児島線","ＪＲ","九州旅客鉄道","40"
285,9925,"南小倉","日豊線","ＪＲ","九州旅客鉄道","40"
286,9968,"七隈","3号線(七隈線)","公営","福岡市","40"
287,10452,"周船寺","筑肥線","ＪＲ","九州旅客鉄道","40"
288,10475,"門司港","鹿児島線","ＪＲ","九州旅客鉄道","40"
289,10586,"東郷","鹿児島線","ＪＲ","九州旅客鉄道","40"
290,10619,"笹原","鹿児島線","ＪＲ","九州旅客鉄道","40"
291,10957,"今宿","筑肥線","ＪＲ","九州旅客鉄道","40"
292,11073,"西小倉","鹿児島線","ＪＲ","九州旅客鉄道","40"
293,11117,"西鉄小郡","天神大牟田線","民営","西日本鉄道","40"
294,11274,"西鉄柳川","天神大牟田線","民営","西日本鉄道","40"
295,11453,"別府","3号線(七隈線)","公営","福岡市","40"
296,11876,"太宰府","太宰府線","民営","西日本鉄道","40"
297,11947,"箱崎","鹿児島線","ＪＲ","九州旅客鉄道","40"
298,12483,"行橋","日豊線","ＪＲ","九州旅客鉄道","40"
299,12551,"馬出九大病院前","2号線(箱崎線)","公営","福岡市","40"
300,12691,"門司","山陽線","ＪＲ","九州旅客鉄道","40"
301,13019,"西鉄平尾","天神大牟田線","民営","西日本鉄道","40"
302,13138,"朝倉街道","天神大牟田線","民営","西日本鉄道","40"
303,13184,"六本松","3号線(七隈線)","公営","福岡市","40"
304,13384,"下曽根","日豊線","ＪＲ","九州旅客鉄道","40"
305,13399,"八幡","鹿児島線","ＪＲ","九州旅客鉄道","40"
306,13716,"古賀","鹿児島線","ＪＲ","九州旅客鉄道","40"
307,14098,"福大前","3号線(七隈線)","公営","福岡市","40"
308,15047,"雑餉隈","天神大牟田線","民営","西日本鉄道","40"
309,15118,"筑前前原","筑肥線","ＪＲ","九州旅客鉄道","40"
310,15151,"二日市","鹿児島線","ＪＲ","九州旅客鉄道","40"
311,15324,"九産大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
312,15618,"下大利","天神大牟田線","民営","西日本鉄道","40"
313,15664,"博多南","博多南線","ＪＲ","西日本旅客鉄道","40"
314,15772,"祇園","1号線(空港線)","公営","福岡市","40"
315,16141,"久留米","鹿児島線","ＪＲ","九州旅客鉄道","40"
316,16195,"貝塚","貝塚線","民営","西日本鉄道","40"
317,16702,"大野城","鹿児島線","ＪＲ","九州旅客鉄道","40"
318,16760,"室見","1号線(空港線)","公営","福岡市","40"
319,17078,"竹下","鹿児島線","ＪＲ","九州旅客鉄道","40"
320,17750,"福間","鹿児島線","ＪＲ","九州旅客鉄道","40"
321,17975,"赤間","鹿児島線","ＪＲ","九州旅客鉄道","40"
322,18230,"小倉","小倉線","三セク","北九州高速鉄道","40"
323,18893,"九大学研都市","筑肥線","ＪＲ","九州旅客鉄道","40"
324,19276,"薬院","3号線(七隈線)","公営","福岡市","40"
325,19330,"戸畑","鹿児島線","ＪＲ","九州旅客鉄道","40"
326,20297,"高宮","天神大牟田線","民営","西日本鉄道","40"
327,20535,"南福岡","鹿児島線","ＪＲ","九州旅客鉄道","40"
328,21467,"西鉄二日市","天神大牟田線","民営","西日本鉄道","40"
329,21703,"春日原","天神大牟田線","民営","西日本鉄道","40"
330,21944,"貝塚","2号線(箱崎線)","公営","福岡市","40"
331,22162,"大濠公園","1号線(空港線)","公営","福岡市","40"
332,22749,"井尻","天神大牟田線","民営","西日本鉄道","40"
333,23356,"東比恵","1号線(空港線)","公営","福岡市","40"
334,23497,"福工大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
335,23542,"唐人町","1号線(空港線)","公営","福岡市","40"
336,24432,"小倉","山陽新幹線","新幹線","西日本旅客鉄道","40"
337,24714,"藤崎","1号線(空港線)","公営","福岡市","40"
338,25321,"香椎","鹿児島線","ＪＲ","九州旅客鉄道","40"
339,25434,"千早","鹿児島線","ＪＲ","九州旅客鉄道","40"
340,30073,"吉塚","鹿児島線","ＪＲ","九州旅客鉄道","40"
341,30201,"天神南","3号線(七隈線)","公営","福岡市","40"
342,31058,"黒崎","鹿児島線","ＪＲ","九州旅客鉄道","40"
343,31523,"折尾","鹿児島線","ＪＲ","九州旅客鉄道","40"
344,32937,"赤坂","1号線(空港線)","公営","福岡市","40"
345,33859,"西鉄久留米","天神大牟田線","民営","西日本鉄道","40"
346,36635,"大橋","天神大牟田線","民営","西日本鉄道","40"
347,38465,"中洲川端","1号線(空港線)","公営","福岡市","40"
348,40912,"薬院","天神大牟田線","民営","西日本鉄道","40"
349,45912,"博多","山陽新幹線","新幹線","西日本旅客鉄道","40"
350,49192,"西新","1号線(空港線)","公営","福岡市","40"
351,54647,"福岡空港","1号線(空港線)","公営","福岡市","40"
352,72514,"小倉","鹿児島線","ＪＲ","九州旅客鉄道","40"
353,99913,"姪浜","1号線(空港線)","公営","福岡市","40"
354,133696,"西鉄福岡(天神)","天神大牟田線","民営","西日本鉄道","40"
355,148957,"天神","1号線(空港線)","公営","福岡市","40"
356,162210,"博多","1号線(空港線)","公営","福岡市","40"
357,252957,"博多","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"久留米","久大線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"久留米","九州新幹線","新幹線","九州旅客鉄道","40"
-,他路線に含む,"博多","九州新幹線","新幹線","九州旅客鉄道","40"
-,他路線に含む,"筑後船小屋","九州新幹線","新幹線","九州旅客鉄道","40"
