Station,Url,EngName,Latitude,Longitude,Passengers
七隈,https://ja.wikipedia.org/wiki/七隈駅,Nanakuma,33.553263888888885,130.36168055555555,9968
香椎,https://ja.wikipedia.org/wiki/香椎駅,Kashii,33.659527777777775,130.4441111111111,25321
東比恵,https://ja.wikipedia.org/wiki/東比恵駅,HigashiHie,33.58989444444445,130.43127777777778,23356
名島,https://ja.wikipedia.org/wiki/名島駅,Najima,33.642675,130.43173055555553,2982
香椎神宮,https://ja.wikipedia.org/wiki/香椎神宮駅,Kashiijingū,33.64975277777778,130.45263055555554,2033
金山,https://ja.wikipedia.org/wiki/金山駅_(福岡県),Kanayama,33.55937222222222,130.36156111111111,6098
茶山,https://ja.wikipedia.org/wiki/茶山駅_(福岡県),Chayama,33.566063888888884,130.36543055555555,4986
貝塚,https://ja.wikipedia.org/wiki/貝塚駅_(福岡県),Kaizuka,33.632175000000004,130.42557777777776,38139
香椎花園前,https://ja.wikipedia.org/wiki/香椎花園前駅,KashiiKaenmae,33.669866666666664,130.4345,3280
周船寺,https://ja.wikipedia.org/wiki/周船寺駅,Susenji,33.570775000000005,130.24577499999998,10452
和白,https://ja.wikipedia.org/wiki/和白駅,Wajiro,33.689211111111106,130.42964444444445,5383
今宿,https://ja.wikipedia.org/wiki/今宿駅,Imajuku,33.579433333333334,130.27356111111112,10957
九産大前,https://ja.wikipedia.org/wiki/九産大前駅,Kyūsandaimae,33.673602777777774,130.44119722222223,15324
九大学研都市,https://ja.wikipedia.org/wiki/九大学研都市駅,KyūdaiGakkentoshi,33.578161111111115,130.25987777777777,18893
奈多,https://ja.wikipedia.org/wiki/奈多駅,Nata,33.68672222222222,130.4125,2247
西戸崎,https://ja.wikipedia.org/wiki/西戸崎駅,Saitozaki,33.65023611111111,130.357825,1808
唐の原,https://ja.wikipedia.org/wiki/唐の原駅,Tōnoharu,33.680049999999994,130.43450555555555,1092
三苫,https://ja.wikipedia.org/wiki/三苫駅,Mitoma,33.70207222222223,130.42254444444444,3478
