Stations,Urls,Latitude,Longitude,EngName
貝塚駅,https://ja.wikipedia.org/wiki/貝塚駅_(福岡県),33.632175000000004,130.42557777777776,Kaizuka
香椎花園前駅,https://ja.wikipedia.org/wiki/香椎花園前駅,33.669866666666664,130.4345,KashiiKaenmae
周船寺駅,https://ja.wikipedia.org/wiki/周船寺駅,33.570775000000005,130.24577499999998,Susenji
和白駅,https://ja.wikipedia.org/wiki/和白駅,33.689211111111106,130.42964444444445,Wajiro
今宿駅,https://ja.wikipedia.org/wiki/今宿駅,33.579433333333334,130.27356111111112,Imajuku
九産大前駅,https://ja.wikipedia.org/wiki/九産大前駅,33.673602777777774,130.44119722222223,Kyūsandaimae
九大学研都市駅,https://ja.wikipedia.org/wiki/九大学研都市駅,33.578161111111115,130.25987777777777,KyūdaiGakkentoshi
奈多駅,https://ja.wikipedia.org/wiki/奈多駅,33.68672222222222,130.4125,Nata
西戸崎駅,https://ja.wikipedia.org/wiki/西戸崎駅,33.65023611111111,130.357825,Saitozaki
唐の原駅,https://ja.wikipedia.org/wiki/唐の原駅,33.680049999999994,130.43450555555555,Tōnoharu
三苫駅,https://ja.wikipedia.org/wiki/三苫駅,33.70207222222223,130.42254444444444,Mitoma
