順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
345,40,"赤","田川線","三セク","平成筑豊鉄道","40"
346,35,"筑前山家","筑豊線","ＪＲ","九州旅客鉄道","40"
346,35,"松山","糸田線","三セク","平成筑豊鉄道","40"
348,30,"内田","田川線","三セク","平成筑豊鉄道","40"
349,27,"源じいの森","田川線","三セク","平成筑豊鉄道","40"
350,25,"豊前桝田","日田彦山線","ＪＲ","九州旅客鉄道","40"
351,23,"ノーフォーク広場","門司港レトロ観光線","三セク","平成筑豊鉄道","40"
352,18,"筑前内野","筑豊線","ＪＲ","九州旅客鉄道","40"
353,17,"筑前岩屋","日田彦山線","ＪＲ","九州旅客鉄道","40"
353,17,"九郎原","篠栗線","ＪＲ","九州旅客鉄道","40"
355,16,"彦山","日田彦山線","ＪＲ","九州旅客鉄道","40"
356,15,"宝珠山","日田彦山線","ＪＲ","九州旅客鉄道","40"
357,2,"歓遊舎ひこさん","日田彦山線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"久留米","久大線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"久留米","九州新幹線","新幹線","九州旅客鉄道","40"
-,他路線に含む,"博多","九州新幹線","新幹線","九州旅客鉄道","40"
-,他路線に含む,"筑後船小屋","九州新幹線","新幹線","九州旅客鉄道","40"
-,他路線に含む,"新飯塚","後藤寺線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"田川後藤寺","後藤寺線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"城野","日田彦山線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"小倉","日豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"西小倉","日豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"姪浜","筑肥線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"折尾","筑豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"東水巻","筑豊線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"吉塚","篠栗線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"桂川","篠栗線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"長者原","香椎線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"香椎","香椎線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"原田","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"小倉","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"折尾","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"門司","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"門司","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"陣原","鹿児島線","ＪＲ","九州旅客鉄道","40"
-,他路線に含む,"田川伊田","伊田線","三セク","平成筑豊鉄道","40"
-,他路線に含む,"田川後藤寺","糸田線","三セク","平成筑豊鉄道","40"
-,他路線に含む,"金田","糸田線","三セク","平成筑豊鉄道","40"
-,他路線に含む,"中洲川端","2号線(箱崎線)","公営","福岡市","40"
-,他路線に含む,"博多","博多南線","ＪＲ","西日本旅客鉄道","40"
-,他路線に含む,"西鉄二日市","太宰府線","民営","西日本鉄道","40"
-,他路線に含む,"宮の陣","甘木線","民営","西日本鉄道","40"
