Station,Url,EngName,Latitude,Longitude,Passengers
香椎神宮,https://ja.wikipedia.org/wiki/香椎神宮駅,Kashiijingū,33.64975278,130.4526306,2033
金山,https://ja.wikipedia.org/wiki/金山駅_(福岡県),Kanayama,33.55937222,130.3615611,6098
茶山,https://ja.wikipedia.org/wiki/茶山駅_(福岡県),Chayama,33.56606389,130.3654306,4986
貝塚,https://ja.wikipedia.org/wiki/貝塚駅_(福岡県),Kaizuka,33.632175,130.4255778,38139
香椎花園前,https://ja.wikipedia.org/wiki/香椎花園前駅,KashiiKaenmae,33.66986667,130.4345,3280
周船寺,https://ja.wikipedia.org/wiki/周船寺駅,Susenji,33.570775,130.245775,10452
和白,https://ja.wikipedia.org/wiki/和白駅,Wajiro,33.68921111,130.4296444,5383
今宿,https://ja.wikipedia.org/wiki/今宿駅,Imajuku,33.57943333,130.2735611,10957
九産大前,https://ja.wikipedia.org/wiki/九産大前駅,Kyūsandaimae,33.67360278,130.4411972,15324
九大学研都市,https://ja.wikipedia.org/wiki/九大学研都市駅,KyūdaiGakkentoshi,33.57816111,130.2598778,18893
奈多,https://ja.wikipedia.org/wiki/奈多駅,Nata,33.68672222,130.4125,2247
西戸崎,https://ja.wikipedia.org/wiki/西戸崎駅,Saitozaki,33.65023611,130.357825,1808
唐の原,https://ja.wikipedia.org/wiki/唐の原駅,Tōnoharu,33.68005,130.4345056,1092
三苫,https://ja.wikipedia.org/wiki/三苫駅,Mitoma,33.70207222,130.4225444,3478
