Station,Station Latitude,Station Longitude,Daily Passengers,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Subcategory
ChiyokenchōguchiChiyoPrefecturalOffice,33.6028,130.41455833333333,9423,Centennial Hall Kyushu University School of Medicine (九州大学医学部 百年講堂),33.60674107563637,130.415696456422,Education,College Auditorium
YakuinodoriZooBotanicalGarden,33.58040555555556,130.39615833333332,6258,SerenDipity,33.582538,130.397322,Education,Community College
YakuinodoriZooBotanicalGarden,33.58040555555556,130.39615833333332,6258,INPEX,33.583669542743806,130.39743007425596,Education,College Gym
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,Kyushu University Hospital Campus (九州大学 病院キャンパス),33.609901447390996,130.4201486317943,Education,University
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学医学部基礎研究A棟,33.61096617229905,130.41689310144648,Education,College Academic Building
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学 薬学部棟,33.609781,130.416151,Education,College Academic Building
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学医学部同窓会館,33.609781,130.416151,Education,General College & University
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学医学部総合研究棟,33.61058051480435,130.41543898263043,Education,College Academic Building
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学医学部基礎研究B棟,33.61121200042011,130.4150816581726,Education,College Academic Building
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学 ウエストウイング 臨床大講堂,33.608402,130.414065,Education,College Classroom
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,福岡外語専門学校,33.60776202199035,130.42154365232753,Education,Trade School
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,Centennial Hall Kyushu University School of Medicine (九州大学医学部 百年講堂),33.60674107563637,130.415696456422,Education,College Auditorium
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学 医学図書館,33.60999547614674,130.4149755377596,Education,College Library
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学 馬出キャンパス 医系食堂,33.6108583703223,130.41646094963093,Education,College Cafeteria
MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921388888889,130.41931666666665,12551,九州大学生協医系購買書籍店,33.60940762802246,130.41521390843533,Education,College Bookstore
RopponmatsuScienceMuseum,33.57767777777778,130.37728611111112,13184,ヤマハ音楽教室 六本松センター,33.577326514235544,130.37597619105748,Education,Community College
RopponmatsuScienceMuseum,33.57767777777778,130.37728611111112,13184,QTnet将棋センター,33.57681,130.379347,Education,Community College
RopponmatsuScienceMuseum,33.57767777777778,130.37728611111112,13184,公文式 草香江教室,33.57998883929838,130.37453203071678,Education,Community College
RopponmatsuScienceMuseum,33.57767777777778,130.37728611111112,13184,九州大学法科大学院,33.57713,130.37791,Education,Law School
OhorikoenOhoriParkFukuokaArtMuseum,33.59008333333333,130.37885277777778,22162,ノーブルWEBスクール,33.590616,130.379762,Education,Community College
OhorikoenOhoriParkFukuokaArtMuseum,33.59008333333333,130.37885277777778,22162,九州外語学院,33.589928,130.379119,Education,Trade School
OhorikoenOhoriParkFukuokaArtMuseum,33.59008333333333,130.37885277777778,22162,福岡美容専門学校,33.59224072554276,130.37626312176695,Education,Trade School
OhorikoenOhoriParkFukuokaArtMuseum,33.59008333333333,130.37885277777778,22162,福岡 大村美容ファッション専門学校,33.58888518421657,130.3741087356306,Education,Trade School
Fujisaki,33.581361111111114,130.3481694444445,24714,西南会館事務室,33.58510038878081,130.34961718323305,Education,General College & University
Tōjinmachi,33.59026388888889,130.37053333333333,23542,大日本図書  編集部,33.591184,130.372518,Education,General College & University
Tōjinmachi,33.59026388888889,130.37053333333333,23542,Omura Fashion College,33.58936885792007,130.3725898282217,Education,Trade School
Tōjinmachi,33.59026388888889,130.37053333333333,23542,福岡 大村美容ファッション専門学校,33.58888518421657,130.3741087356306,Education,Trade School
